E0313 04:48:26.785850       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.129:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.129 because it doesn't contain any IP SANs" node="worker1-vm"
E0313 04:48:26.804788       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.128:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.128 because it doesn't contain any IP SANs" node="master-vm"
E0313 04:48:29.839952       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.130:10250/metrics/resource\": dial tcp 192.168.147.130:10250: connect: no route to host" node="worker2-vm"
I0313 04:48:34.165915       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:48:41.784537       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.128:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.128 because it doesn't contain any IP SANs" node="master-vm"
E0313 04:48:41.785681       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.129:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.129 because it doesn't contain any IP SANs" node="worker1-vm"
I0313 04:48:44.168835       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:48:44.847568       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.130:10250/metrics/resource\": dial tcp 192.168.147.130:10250: connect: no route to host" node="worker2-vm"
I0313 04:48:54.164883       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:48:56.792150       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.129:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.129 because it doesn't contain any IP SANs" node="worker1-vm"
E0313 04:48:56.792981       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.128:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.128 because it doesn't contain any IP SANs" node="master-vm"
E0313 04:48:59.855982       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.130:10250/metrics/resource\": dial tcp 192.168.147.130:10250: connect: no route to host" node="worker2-vm"
I0313 04:49:04.167522       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:49:11.782939       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.129:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.129 because it doesn't contain any IP SANs" node="worker1-vm"
E0313 04:49:11.805366       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.128:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.128 because it doesn't contain any IP SANs" node="master-vm"
I0313 04:49:14.168812       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:49:14.831496       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.130:10250/metrics/resource\": dial tcp 192.168.147.130:10250: connect: no route to host" node="worker2-vm"
I0313 04:49:24.161962       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:49:26.792963       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.128:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.128 because it doesn't contain any IP SANs" node="master-vm"
E0313 04:49:26.802032       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.129:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.129 because it doesn't contain any IP SANs" node="worker1-vm"
